loss,accuracy,val_loss,val_accuracy,lr
0.03711782395839691,0.6268523931503296,0.2105368822813034,0.9312303066253662,0.001
0.032095495611429214,0.680884599685669,0.2219628095626831,0.9308157563209534,0.001
0.031123008579015732,0.7791042327880859,0.22350701689720154,0.9728071689605713,0.001
0.03044213354587555,0.6739828586578369,0.23162081837654114,0.9739263653755188,0.001
0.0297765601426363,0.7681921124458313,0.2130746990442276,0.974050760269165,0.001
0.029459690675139427,0.8697382211685181,0.22905077040195465,0.6140772700309753,0.001
0.02910480462014675,0.8651059865951538,0.2625967860221863,0.9585475325584412,0.001
0.028657445684075356,0.7039938569068909,0.23409172892570496,0.5909882187843323,0.001
0.028437120839953423,0.5580115914344788,0.25488999485969543,0.973263144493103,0.001
0.027554837986826897,0.5397106409072876,0.23403139412403107,0.5520228743553162,0.001
